exp	arm	cell	rtt_ms	rate_mbps	loss_pct	step_scale	depth	cache	run	p95_wait_ms	mean_wait_ms	peak_outstanding	wait_samples	nz_n	nz_p50	nz_p95	nz_p99	nz_max	reader_lag_ms	stranded_frames	stranded_bytes	censored	censored_frac	center_dropped	frames_on_wire	bytes_on_wire	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	ns_qdrop	verdict
x1n10	shared	X1	50	20	0.1	2	8	64	1	270.37	45.10	8	682	229	89.22	404.64	540.49	602.56	1.3	108	6912432	0	0.0000	0	647	41410588	1.090	1.270	3.350	47.50	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	1	383.97	102.49	9	682	355	177.26	444.39	667.13	865.40	0.8	148	9472592	0	0.0000	0	643	41154572	1.150	0.000	3.370	47.26	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	1	369.65	58.81	9	682	245	90.63	541.03	899.95	1032.31	1.3	116	7424464	0	0.0000	0	645	41282580	1.200	1.410	3.480	47.26	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	2	373.63	52.31	9	682	211	90.88	521.97	639.24	705.06	1.9	117	7488468	0	0.0000	0	640	40962560	1.210	1.330	3.440	47.11	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	2	465.48	122.64	9	682	381	183.09	560.78	810.55	899.35	1.5	155	9920620	0	0.0000	0	624	39938496	1.310	1.680	3.380	47.13	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	2	409.62	60.46	9	682	222	93.57	573.76	793.76	926.24	0.9	125	8000500	0	0.0000	0	640	40962560	1.160	1.370	3.280	47.22	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	3	529.30	114.10	9	682	312	205.14	660.43	789.81	855.93	1.6	174	11136696	0	0.0000	0	615	39362460	1.050	1.300	3.210	47.21	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	3	599.12	184.18	13	682	405	287.12	738.04	964.97	1032.77	0.6	214	13696856	0	0.0000	0	603	38594412	1.070	1.520	3.130	47.21	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	3	653.39	136.43	11	682	314	236.81	828.90	1005.40	1193.07	0.2	186	11904744	0	0.0000	0	613	39234452	1.090	1.330	3.160	47.21	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	4	726.71	153.19	10	682	340	205.13	829.48	1090.85	1157.34	2.1	195	12480780	0	0.0000	0	607	38850428	1.030	1.190	3.160	47.25	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	4	737.44	209.48	11	682	434	257.47	826.76	1142.00	1207.64	1.9	213	13632852	0	0.0000	0	595	38082380	1.050	1.470	3.090	47.21	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	4	739.11	159.48	10	682	342	219.97	832.30	1072.75	1414.45	0.8	191	12224764	0	0.0000	0	602	38530408	1.080	1.300	3.080	47.20	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	5	499.98	82.83	9	682	243	140.84	690.79	790.10	800.62	1.4	142	9088568	0	0.0000	0	633	40514532	1.020	1.210	3.160	47.19	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	5	550.28	139.21	11	682	381	206.51	662.21	830.16	961.45	1.6	160	10240640	0	0.0000	0	631	40386524	1.120	1.560	3.270	47.24	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	5	535.69	83.29	10	682	251	118.07	660.38	799.24	1095.35	1.1	145	9280580	0	0.0000	0	641	41026564	1.180	1.410	3.420	47.25	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	6	152.58	25.79	8	682	184	79.88	275.56	424.94	455.54	0.8	75	4800300	0	0.0000	0	652	41730608	0.980	1.190	3.240	47.19	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	6	301.57	68.81	9	682	298	138.87	386.81	539.08	671.19	1.2	90	5760360	0	0.0000	0	649	41538596	1.100	1.510	3.360	47.22	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	6	164.27	29.07	8	682	184	79.54	342.11	602.18	786.90	1.1	75	4800300	0	0.0000	0	649	41538596	1.100	1.360	3.340	47.22	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	7	608.88	167.48	9	682	403	240.32	672.53	815.23	885.08	1.8	255	16321020	0	0.0000	0	604	38658416	1.070	1.210	3.180	47.13	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	7	723.16	236.89	12	682	481	302.29	814.00	1060.04	1164.09	1.3	281	17985124	0	0.0000	0	583	37314332	1.070	1.490	3.050	47.19	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	7	672.97	185.43	10	682	406	282.64	722.00	951.17	1207.41	1.6	252	16129008	0	0.0000	0	602	38530408	1.140	1.370	3.200	47.11	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	8	565.18	135.32	10	682	338	231.03	777.76	957.71	1034.62	0.9	196	12544784	0	0.0000	0	611	39106444	1.120	1.220	3.160	47.21	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	8	579.72	189.63	10	682	447	267.13	660.20	921.09	1002.50	1.9	225	14400900	0	0.0000	0	600	38402400	1.090	1.480	3.060	47.20	0	ok
x1n10	perframe_fifo	X1	50	20	0.1	2	8	64	8	558.14	122.60	10	682	339	193.94	682.27	869.83	907.62	1.3	188	12032752	0	0.0000	0	618	39554472	1.110	1.380	3.270	47.22	0	ok
x1n10	shared	X1	50	20	0.1	2	8	64	9	776.21	230.59	10	682	404	412.40	837.73	968.86	1032.37	0.4	257	16449028	0	0.0000	0	574	36738296	1.110	1.220	3.010	47.22	0	ok
x1n10	perframe_fair	X1	50	20	0.1	2	8	64	9	777.67	281.90	12	682	490	371.36	805.74	904.72	970.52	0.6	290	18561160	0	0.0000	0	569	36418276	1.070	1.460	2.940	47.22	0	ok
