label	arm	cell	depth	asked	wall_ms	mb_per_s	delivered	failed	sock_drops	rcvbuf_drops	in_datagrams	srv_ms	ns_main_ms	ns_io_ms	rend_main_ms	rend_other_ms	chrome_other_ms	heap_peak_mb
r1	shared	fill	1	800	1417	141.1	800	0	1311	1311	186889	710.7	0.0	1407.7	513.2	206.4	33.5	71.5
r1	pool2	fill	1	800	1477	135.4	800	0	1410	1410	186830	751.1	0.0	1461.3	579.0	274.0	34.4	79.6
r1	pool4	fill	1	800	1221	163.8	800	0	1291	1291	154350	649.1	0.0	1209.6	586.3	264.1	35.2	80.9
r1	perframe	fill	1	800	1626	123.0	800	0	1257	1257	154417	675.6	0.0	1616.4	638.8	289.6	39.0	72.8
r1	sw768k	fill	1	800	1261	158.6	800	0	0	0	163160	660.9	0.0	1256.7	468.1	276.2	33.9	73.6
r1	seg10	fill	1	800	1407	142.1	800	0	1468	1468	186727	737.6	0.0	1402.3	533.5	251.0	36.3	73.0
r1	rmem212k	fill	1	800	1167	171.4	800	0	339	339	154333	628.2	0.0	1151.0	484.7	230.7	33.7	64.4
r2	rmem212k	fill	1	800	1393	143.6	800	0	414	414	187283	724.6	0.0	1379.7	528.2	245.9	49.1	74.4
r2	seg10	fill	1	800	1181	169.3	800	0	1502	1502	154342	622.8	0.0	1176.6	467.9	214.1	30.7	60.6
r2	sw768k	fill	1	800	1274	157.0	800	0	0	0	163913	668.0	0.0	1271.0	499.5	216.2	34.4	70.6
r2	perframe	fill	1	800	1598	125.2	800	0	1126	1126	154427	675.2	0.0	1587.3	655.1	291.4	36.5	72.1
r2	pool4	fill	1	800	1277	156.6	800	0	1111	1111	154332	673.2	0.0	1259.6	620.7	238.5	42.2	76.7
r2	pool2	fill	1	800	1479	135.2	800	0	1326	1326	186909	763.0	0.0	1468.5	584.8	249.7	110.9	71.3
r2	shared	fill	1	800	1161	172.3	800	0	1056	1056	154332	631.7	0.0	1148.5	474.7	247.8	36.6	69.8
r3	shared	fill	1	800	1412	141.6	800	0	1854	1854	186797	727.9	0.0	1404.6	520.0	269.5	37.8	80.1
r3	pool2	fill	1	800	1440	138.9	800	0	1616	1616	186821	741.2	0.0	1430.4	568.1	266.2	37.2	77.1
r3	pool4	fill	1	800	1258	159.0	800	0	1226	1226	154316	653.9	0.0	1252.0	598.6	238.8	34.7	72.0
r3	perframe	fill	1	800	1872	106.8	800	0	1065	1065	187008	772.9	0.0	1866.0	690.0	339.8	44.7	72.1
r3	sw768k	fill	1	800	1259	158.9	800	0	0	0	163392	677.3	0.0	1253.4	497.6	232.1	36.8	72.2
r3	seg10	fill	1	800	1194	167.5	800	0	1342	1342	154339	636.1	0.0	1183.9	486.6	186.3	34.9	60.4
r3	rmem212k	fill	1	800	1191	167.9	800	0	403	403	154365	632.5	0.0	1177.4	490.9	220.8	34.7	60.6
r4	rmem212k	fill	1	800	1424	140.4	800	0	279	279	187212	727.7	0.0	1411.8	523.7	234.2	36.4	68.9
r4	seg10	fill	1	800	1373	145.7	800	0	2019	2019	186697	726.0	0.1	1366.4	526.6	263.7	35.6	69.9
r4	sw768k	fill	1	800	1271	157.4	800	0	0	0	162163	685.6	0.1	1266.7	513.7	257.4	36.9	69.4
r4	perframe	fill	1	800	1636	122.2	800	0	2212	2212	154441	691.4	0.0	1630.0	656.3	326.7	42.9	70.6
r4	pool4	fill	1	800	1266	158.0	800	0	1186	1186	154341	686.8	0.9	1258.0	614.5	250.6	39.1	68.9
r4	pool2	fill	1	800	1277	156.6	800	0	1175	1175	154343	706.9	0.0	1266.8	544.3	237.7	37.2	62.1
r4	shared	fill	1	800	1495	133.8	800	0	1384	1384	186890	820.6	0.6	1487.9	516.1	296.2	40.1	77.5
r5	shared	fill	1	800	1238	161.6	800	0	1241	1241	154340	707.2	0.0	1232.3	490.6	248.9	36.3	72.7
r5	pool2	fill	1	800	1231	162.5	800	0	1244	1244	154337	660.9	0.9	1225.1	533.7	219.3	37.0	60.5
r5	pool4	fill	1	800	1500	133.3	800	0	1491	1491	186902	804.4	0.0	1487.7	703.1	296.8	39.7	74.4
r5	perframe	fill	1	800	1915	104.4	800	0	1687	1687	187017	826.3	0.6	1897.3	730.1	378.6	45.3	77.3
r5	sw768k	fill	1	800	1273	157.1	800	0	0	0	161880	744.5	0.0	1266.5	514.5	255.1	38.3	73.2
r5	seg10	fill	1	800	1218	164.2	800	0	1107	1107	154342	700.4	0.9	1203.5	484.7	285.8	37.6	58.4
r5	rmem212k	fill	1	800	1508	132.6	800	0	370	370	187267	806.3	0.0	1494.9	559.3	270.9	38.7	65.9
r6	rmem212k	fill	1	800	1482	135.0	800	0	368	368	187208	791.1	0.6	1466.3	531.3	272.7	40.1	77.7
r6	seg10	fill	1	800	1231	162.5	800	0	1099	1099	154346	675.6	0.1	1224.7	484.6	252.2	39.6	76.6
r6	sw768k	fill	1	800	1284	155.8	800	0	0	0	160976	706.7	0.7	1279.3	508.0	234.2	38.0	72.2
r6	perframe	fill	1	800	1865	107.2	800	0	1315	1315	186893	774.3	0.0	1856.5	684.5	324.1	43.1	67.3
r6	pool4	fill	1	800	1242	161.0	800	0	1077	1077	154339	639.0	0.0	1234.1	568.9	226.7	36.7	73.9
r6	pool2	fill	1	800	1201	166.5	800	0	1071	1071	154334	630.5	0.0	1195.0	488.4	231.0	34.1	62.3
r6	shared	fill	1	800	1200	166.7	800	0	1639	1639	154340	631.1	0.0	1194.5	466.6	209.6	35.5	60.1
