label	arm	cell	depth	asked	wall_ms	mb_per_s	delivered	failed	sock_drops	rcvbuf_drops	in_datagrams	srv_ms	ns_main_ms	ns_io_ms	rend_main_ms	rend_other_ms	chrome_other_ms	heap_peak_mb
r1	shared	ondemand	4	320	552	144.9	320	0	0	0	62270	189.3	0.0	529.8	231.5	83.6	26.1	62.3
r1	perframe	ondemand	4	320	687	116.4	320	0	0	0	62197	192.8	0.0	664.7	265.9	126.5	25.5	67.5
r1	sw768k	ondemand	4	320	496	161.3	320	0	0	0	62887	220.7	0.0	483.6	222.9	71.4	25.3	63.5
r1	seg10	ondemand	4	320	500	160.0	320	0	0	0	62259	195.3	0.0	483.0	225.1	70.2	25.7	63.6
r2	seg10	ondemand	4	320	505	158.4	320	0	0	0	62263	193.9	0.0	479.7	229.2	85.5	24.7	64.4
r2	sw768k	ondemand	4	320	512	156.2	320	0	0	0	62883	232.5	0.0	500.0	231.9	81.8	26.4	60.4
r2	perframe	ondemand	4	320	727	110.0	320	0	0	0	62208	220.5	0.0	699.9	298.5	122.5	29.5	63.6
r2	shared	ondemand	4	320	526	152.1	320	0	0	0	62271	205.9	0.0	498.4	229.7	115.5	27.1	59.0
r3	shared	ondemand	4	320	515	155.3	320	0	0	0	62263	209.8	0.0	498.2	230.3	87.1	27.0	60.2
r3	perframe	ondemand	4	320	682	117.3	320	0	0	0	62204	203.9	0.0	646.3	290.9	133.1	28.3	70.2
r3	sw768k	ondemand	4	320	567	141.1	320	0	0	0	62950	239.6	0.0	529.4	241.7	96.4	26.8	59.9
r3	seg10	ondemand	4	320	528	151.5	320	0	0	0	62275	211.1	0.0	492.5	241.7	95.1	26.9	61.4
r4	seg10	ondemand	4	320	524	152.7	320	0	0	0	62281	210.7	0.0	488.7	216.7	104.3	26.6	56.7
r4	sw768k	ondemand	4	320	521	153.6	320	0	0	0	62906	227.6	0.0	494.2	231.2	96.3	26.5	61.1
r4	perframe	ondemand	4	320	693	115.4	320	0	0	0	62213	213.2	0.0	680.4	291.0	104.3	28.9	67.8
r4	shared	ondemand	4	320	495	161.6	320	0	0	0	62253	190.1	0.0	483.1	212.8	77.9	25.9	62.6
r5	shared	ondemand	4	320	511	156.6	320	0	0	0	62263	182.4	0.0	488.9	221.3	85.0	28.4	62.5
r5	perframe	ondemand	4	320	739	108.3	320	0	0	0	62208	198.1	0.0	723.1	272.1	99.2	28.4	65.4
r5	sw768k	ondemand	4	320	512	156.2	320	0	0	0	62988	221.0	0.0	489.0	213.6	82.7	25.1	63.2
r5	seg10	ondemand	4	320	493	162.3	320	0	0	0	62247	196.7	0.0	468.7	215.7	87.9	43.4	66.1
r6	seg10	ondemand	4	320	483	165.6	320	0	0	0	62261	192.3	0.0	473.8	207.4	73.2	24.2	66.2
r6	sw768k	ondemand	4	320	510	156.9	320	0	0	0	62917	218.8	0.0	486.3	214.0	84.5	24.6	64.0
r6	perframe	ondemand	4	320	663	120.7	320	0	0	0	62194	196.5	0.0	638.7	275.5	101.6	26.5	67.2
r6	shared	ondemand	4	320	508	157.5	320	0	0	0	62255	184.0	0.0	489.1	208.3	101.8	24.3	63.7
