exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s
e12	cubic_iw12k	A	30	50	0.0	frames_32k	4	1	12.02	1.88	190.00	4	161	0.500	0.630	0.990	8.02
e12	cubic_iw48k	A	30	50	0.0	frames_32k	4	1	10.31	1.58	189.00	4	161	0.500	0.570	0.990	7.88
e12	cubic_iw240k	A	30	50	0.0	frames_32k	4	1	10.15	1.48	188.00	4	161	0.500	0.580	0.980	7.88
e12	bbr_iw12k	A	30	50	0.0	frames_32k	4	1	12.36	4.55	181.50	4	161	0.490	0.600	0.980	8.49
e12	bbr_iw240k	A	30	50	0.0	frames_32k	4	1	11.71	1.57	178.50	4	161	0.480	0.580	0.960	7.87
e12	cubic_iw12k	B	60	25	0.5	frames_32k	4	1	313.17	77.97	13.00	4	161	0.460	0.800	0.830	20.37
e12	cubic_iw48k	B	60	25	0.5	frames_32k	4	1	319.03	78.18	12.50	4	161	0.460	0.790	0.810	20.38
e12	cubic_iw240k	B	60	25	0.5	frames_32k	4	1	317.01	77.88	15.00	4	161	0.430	0.790	0.820	20.37
e12	bbr_iw12k	B	60	25	0.5	frames_32k	4	1	98.44	18.10	102.50	4	161	0.490	0.710	1.220	10.81
e12	bbr_iw240k	B	60	25	0.5	frames_32k	4	1	96.69	18.12	91.50	4	161	0.510	0.660	1.200	10.65
e12	cubic_iw12k	C	150	10	2.0	frames_32k	4	1	1880.61	556.65	2.50	4	161	0.670	3.200	1.180	97.72
e12	cubic_iw48k	C	150	10	2.0	frames_32k	4	1	1821.65	540.62	2.50	4	161	0.650	3.030	1.160	95.04
e12	cubic_iw240k	C	150	10	2.0	frames_32k	4	1	1827.85	536.84	3.00	4	161	0.670	3.120	1.150	94.46
e12	bbr_iw12k	C	150	10	2.0	frames_32k	4	1	310.61	65.83	34.00	4	161	0.480	0.870	1.240	18.82
e12	bbr_iw240k	C	150	10	2.0	frames_32k	4	1	308.59	65.59	28.50	4	161	0.440	0.840	1.200	18.82
e12	cubic_iw12k	A	30	50	0.0	frames_32k	4	2	10.71	1.87	187.50	4	161	0.480	0.590	1.000	8.02
e12	cubic_iw48k	A	30	50	0.0	frames_32k	4	2	11.31	1.60	187.50	4	161	0.520	0.530	0.980	7.87
e12	cubic_iw240k	A	30	50	0.0	frames_32k	4	2	11.50	1.49	188.50	4	161	0.500	0.560	0.980	7.87
e12	bbr_iw12k	A	30	50	0.0	frames_32k	4	2	12.22	4.46	190.00	4	161	0.500	0.530	0.970	8.33
e12	bbr_iw240k	A	30	50	0.0	frames_32k	4	2	12.77	3.85	184.50	4	161	0.490	0.550	0.950	8.33
e12	cubic_iw12k	B	60	25	0.5	frames_32k	4	2	341.89	78.35	14.00	4	161	0.430	0.760	0.780	20.37
e12	cubic_iw48k	B	60	25	0.5	frames_32k	4	2	318.75	77.56	13.00	4	161	0.470	0.810	0.840	20.37
e12	cubic_iw240k	B	60	25	0.5	frames_32k	4	2	333.39	77.93	16.50	4	161	0.450	0.800	0.800	20.37
e12	bbr_iw12k	B	60	25	0.5	frames_32k	4	2	94.85	17.27	92.00	4	161	0.560	0.680	1.240	10.65
e12	bbr_iw240k	B	60	25	0.5	frames_32k	4	2	84.21	17.73	77.50	4	161	0.510	0.640	1.170	10.65
e12	cubic_iw12k	C	150	10	2.0	frames_32k	4	2	1922.38	581.77	3.00	4	161	0.690	3.350	1.260	102.05
e12	cubic_iw48k	C	150	10	2.0	frames_32k	4	2	1824.41	541.96	5.00	4	161	0.680	3.200	1.200	96.83
e12	cubic_iw240k	C	150	10	2.0	frames_32k	4	2	1796.11	544.63	3.00	4	161	0.680	3.170	1.160	95.75
e12	bbr_iw12k	C	150	10	2.0	frames_32k	4	2	331.77	69.16	35.50	4	161	0.490	0.880	1.250	19.28
e12	bbr_iw240k	C	150	10	2.0	frames_32k	4	2	316.23	68.11	27.50	4	161	0.460	0.900	1.240	19.14
e12	cubic_iw12k	A	30	50	0.0	frames_32k	4	3	11.88	1.94	190.50	4	161	0.490	0.580	0.990	8.03
e12	cubic_iw48k	A	30	50	0.0	frames_32k	4	3	11.45	1.62	188.50	4	161	0.520	0.570	1.000	7.88
e12	cubic_iw240k	A	30	50	0.0	frames_32k	4	3	11.41	1.53	188.00	4	161	0.490	0.590	0.980	7.87
e12	bbr_iw12k	A	30	50	0.0	frames_32k	4	3	11.94	4.03	190.00	4	161	0.510	0.590	0.980	8.34
e12	bbr_iw240k	A	30	50	0.0	frames_32k	4	3	12.31	2.67	183.00	4	161	0.540	0.610	1.030	8.18
e12	cubic_iw12k	B	60	25	0.5	frames_32k	4	3	344.10	79.22	14.00	4	161	0.470	0.830	0.860	20.53
e12	cubic_iw48k	B	60	25	0.5	frames_32k	4	3	310.23	77.56	12.50	4	161	0.440	0.790	0.830	20.22
e12	cubic_iw240k	B	60	25	0.5	frames_32k	4	3	335.84	78.24	15.00	4	161	0.450	0.820	0.810	20.38
e12	bbr_iw12k	B	60	25	0.5	frames_32k	4	3	75.06	15.13	91.50	4	161	0.540	0.700	1.230	10.19
e12	bbr_iw240k	B	60	25	0.5	frames_32k	4	3	90.25	18.63	86.50	4	161	0.530	0.670	1.220	10.81
e12	cubic_iw12k	C	150	10	2.0	frames_32k	4	3	1896.27	555.98	5.00	4	161	0.670	3.170	1.180	99.24
e12	cubic_iw48k	C	150	10	2.0	frames_32k	4	3	1820.19	543.48	3.00	4	161	0.720	3.170	1.190	95.71
e12	cubic_iw240k	C	150	10	2.0	frames_32k	4	3	1975.05	538.19	3.00	4	161	0.700	3.130	1.190	94.94
e12	bbr_iw12k	C	150	10	2.0	frames_32k	4	3	318.15	66.59	27.50	4	161	0.490	0.930	1.230	18.99
e12	bbr_iw240k	C	150	10	2.0	frames_32k	4	3	325.73	68.50	34.50	4	161	0.480	0.890	1.240	19.15
