exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max	loss_burst	ns_qdrop	verdict
r1	cubic	W	50	20	1.0	frames_500x64k	8	1	229.98	47.91	2.00	8	682	1.270	0.000	3.230	58.30	42306644	661	226	122.45	413.45	574.11	743.18	5	0	ok
r1	bbr	W	50	20	1.0	frames_500x64k	8	1	81.68	9.84	0.00	8	682	0.940	1.370	2.800	32.23	42498656	664	79	81.57	259.59	273.08	273.08	5	0	ok
r1	bbr	S	600	8	1.0	frames_500x64k	8	1	672.98	125.09	1.00	8	682	1.320	4.090	4.190	112.50	42242640	660	197	472.28	1222.57	1337.71	1696.05	5	0	ok
r1	cubic	L	50	4	1.0	frames_500x64k	8	1	486.21	102.49	2.50	8	682	1.990	4.270	5.900	95.48	42306644	661	265	228.58	629.16	943.55	1004.23	5	0	ok
r1	bbr	L	50	4	1.0	frames_500x64k	8	1	422.12	93.88	2.50	8	682	1.810	3.790	5.130	89.61	42306644	661	267	227.03	553.15	652.13	813.78	5	0	ok
r1	bbr	H	600	40	1.0	frames_500x64k	8	1	619.29	110.23	1.50	8	682	0.830	3.090	1.790	102.47	42242640	660	128	596.65	1159.71	1221.97	2471.08	5	0	ok
r1	cubic	W	50	20	1.0	frames_500x64k	8	2	273.80	58.93	2.50	8	682	1.390	2.440	3.440	65.71	42178636	659	254	141.37	391.38	546.50	717.01	5	0	ok
r1	bbr	W	50	20	1.0	frames_500x64k	8	2	81.73	9.44	0.50	8	682	0.970	1.340	2.880	31.94	42498656	664	76	81.56	244.45	281.82	281.82	5	0	ok
r1	bbr	S	600	8	1.0	frames_500x64k	8	2	672.32	119.01	2.00	8	682	1.260	3.980	4.220	108.30	42242640	660	187	471.26	1061.41	1752.04	2077.04	5	0	ok
r1	cubic	L	50	4	1.0	frames_500x64k	8	2	432.85	97.16	2.50	8	682	1.880	3.880	5.290	91.78	42306644	661	269	226.80	598.05	651.49	819.44	5	0	ok
r1	bbr	L	50	4	1.0	frames_500x64k	8	2	425.16	93.68	2.50	8	682	1.800	3.810	5.130	89.48	42306644	661	264	226.42	570.96	665.28	815.43	5	0	ok
r1	bbr	H	600	40	1.0	frames_500x64k	8	2	618.31	101.39	2.50	8	682	0.820	2.890	1.760	96.45	42242640	660	125	565.43	1210.67	1446.79	2040.23	5	0	ok
r1	cubic	W	50	20	1.0	frames_500x64k	8	3	347.45	75.47	2.50	8	682	1.440	2.860	3.560	77.01	42306644	661	253	172.22	511.27	774.67	954.89	5	0	ok
r1	bbr	W	50	20	1.0	frames_500x64k	8	3	81.04	9.40	0.00	8	682	0.970	1.350	2.840	31.94	42498656	664	89	80.47	167.63	265.53	265.53	5	0	ok
r1	bbr	S	600	8	1.0	frames_500x64k	8	3	693.86	126.64	2.00	8	682	1.280	4.100	4.170	113.56	42242640	660	186	495.92	1219.86	1336.34	1987.77	5	0	ok
r1	cubic	L	50	4	1.0	frames_500x64k	8	3	481.41	99.78	2.50	8	682	1.820	3.910	5.160	93.65	42306644	661	267	227.49	575.40	802.24	841.12	5	0	ok
r1	bbr	L	50	4	1.0	frames_500x64k	8	3	437.65	93.87	2.50	8	682	1.840	3.800	5.130	89.50	42306644	661	265	226.72	554.90	689.65	813.43	5	0	ok
r1	bbr	H	600	40	1.0	frames_500x64k	8	3	619.14	112.54	2.50	8	682	0.790	3.090	1.760	104.01	42178636	659	132	576.46	1215.88	1296.53	1552.13	5	0	ok
