exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max	loss_burst	ns_qdrop	verdict
r3	shared_bbr	W	50	20	1.0	frames_500x64k	8	1	81.39	10.85	0.00	8	682	0.880	1.390	2.830	33.01	42498656	664	76	81.13	262.59	1170.52	1170.52	5	0	ok
r3	perframe_bbr	W	50	20	1.0	frames_500x64k	8	1	96.10	12.52	0.00	8	682	0.980	1.540	2.820	34.08	42498656	664	69	96.10	262.51	308.36	308.36	5	0	ok
r3	perframe_fifo_bbr	W	50	20	1.0	frames_500x64k	8	1	80.80	8.79	0.00	8	682	0.950	1.380	2.820	31.46	42498656	664	77	80.68	259.42	313.05	313.05	5	0	ok
r3	shared_bbr	S	600	8	1.0	frames_500x64k	8	1	674.07	125.98	1.00	8	682	1.260	4.090	4.180	113.10	42242640	660	197	463.89	1202.37	1278.20	2899.77	5	0	ok
r3	perframe_bbr	S	600	8	1.0	frames_500x64k	8	1	1020.38	149.19	1.50	8	682	1.460	4.740	4.350	128.97	42178636	659	149	684.33	1477.58	1762.18	1935.83	5	0	ok
r3	perframe_fifo_bbr	S	600	8	1.0	frames_500x64k	8	1	672.35	119.62	2.00	8	682	1.420	4.120	4.500	108.76	42114632	658	197	467.62	1120.10	1269.28	1272.25	5	0	ok
r3	shared_bbr	W	50	20	1.0	frames_500x64k	8	2	81.28	8.79	0.00	8	682	0.980	1.310	2.820	31.47	42498656	664	78	80.86	181.88	263.85	263.85	5	0	ok
r3	perframe_bbr	W	50	20	1.0	frames_500x64k	8	2	81.50	10.18	0.00	8	682	0.920	1.430	2.790	32.56	42498656	664	73	81.17	260.62	461.78	461.78	5	0	ok
r3	perframe_fifo_bbr	W	50	20	1.0	frames_500x64k	8	2	81.62	10.15	0.00	8	682	1.050	1.420	2.860	32.55	42370648	662	67	81.64	266.41	445.98	445.98	5	0	ok
r3	shared_bbr	S	600	8	1.0	frames_500x64k	8	2	672.88	121.79	2.50	8	682	1.310	4.100	4.410	110.33	42306644	661	186	475.34	1140.96	1497.14	1676.62	5	0	ok
r3	perframe_bbr	S	600	8	1.0	frames_500x64k	8	2	764.26	130.25	1.00	8	682	1.360	4.320	4.310	116.04	42498656	664	193	493.90	1242.75	1513.16	2067.81	5	0	ok
r3	perframe_fifo_bbr	S	600	8	1.0	frames_500x64k	8	2	671.89	113.66	2.50	8	682	1.350	3.910	4.170	104.75	42114632	658	203	409.20	869.91	1332.46	2305.83	5	0	ok
r3	shared_bbr	W	50	20	1.0	frames_500x64k	8	3	81.22	9.87	0.00	8	682	0.880	1.330	2.770	32.25	42498656	664	82	80.68	262.96	266.12	266.12	5	0	ok
r3	perframe_bbr	W	50	20	1.0	frames_500x64k	8	3	81.41	10.50	0.00	8	682	0.940	1.470	2.830	32.71	42498656	664	80	80.69	263.89	265.80	265.80	5	0	ok
r3	perframe_fifo_bbr	W	50	20	1.0	frames_500x64k	8	3	81.42	9.00	0.00	8	682	1.000	1.390	2.840	31.63	42498656	664	79	81.31	129.63	264.57	264.57	5	0	ok
r3	shared_bbr	S	600	8	1.0	frames_500x64k	8	3	697.05	125.80	2.00	8	682	1.230	4.090	4.170	112.95	42242640	660	181	534.70	1218.85	1277.94	1334.06	5	0	ok
r3	perframe_bbr	S	600	8	1.0	frames_500x64k	8	3	741.68	132.21	2.00	8	682	1.380	4.320	4.210	117.44	41922620	655	168	569.26	1255.06	1539.54	1961.75	5	0	ok
r3	perframe_fifo_bbr	S	600	8	1.0	frames_500x64k	8	3	671.95	121.65	2.00	8	682	1.370	4.120	4.280	110.21	42306644	661	191	501.62	1214.02	1524.57	1769.90	5	0	ok
