exp	arm	cell	rtt_ms	rate_mbps	loss_pct	fixture	depth	run	p95_wait_ms	mean_wait_ms	fill_rate	peak_outstanding	wait_samples	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	bytes_on_wire	frames_on_wire	nz_n	nz_p50	nz_p95	nz_p99	nz_max	loss_burst	ns_qdrop	verdict
r5a	cubic	Wc	50	20	0.0	frames_500x64k	16	1	90.57	9.90	2.50	16	682	1.570	1.940	4.530	32.24	69316332	1083	73	82.95	186.83	270.86	270.86	1	57	ok
r5a	bbr	Wc	50	20	0.0	frames_500x64k	16	1	92.03	10.88	5.00	16	682	1.540	1.930	4.500	33.00	69188324	1081	84	81.60	188.45	355.59	355.59	1	5079	ok
r5a	cubic	Sc	600	8	0.0	frames_500x64k	16	1	672.29	98.54	6.00	16	682	2.130	4.530	6.690	94.41	67588224	1056	218	97.73	940.76	1286.01	2025.07	1	218	ok
r5a	bbr	Sc	600	8	0.0	frames_500x64k	16	1	974.21	136.68	6.00	16	682	2.420	5.630	7.570	120.39	68100256	1064	186	220.43	1610.31	2413.92	2757.51	1	8593	ok
r5a	cubic	Wc	50	20	0.0	frames_500x64k	16	2	93.71	9.80	2.50	16	682	1.590	2.020	4.640	32.25	69316332	1083	73	83.14	186.23	246.37	246.37	1	77	ok
r5a	bbr	Wc	50	20	0.0	frames_500x64k	16	2	117.66	11.52	5.00	16	682	1.640	2.070	4.740	33.34	68932308	1077	82	82.38	189.82	263.61	263.61	1	6589	ok
r5a	cubic	Sc	600	8	0.0	frames_500x64k	16	2	670.92	99.16	6.00	16	682	2.450	4.780	7.460	94.73	67588224	1056	218	98.88	946.08	1211.34	1998.22	1	301	ok
r5a	bbr	Sc	600	8	0.0	frames_500x64k	16	2	nan	nan	nan	0	0	nan	nan	nan	81.94	0	0	nan	nan	nan	nan	nan	1	1803	VOID:no-json
r5a	cubic	Wc	50	20	0.0	frames_500x64k	16	3	94.20	9.82	3.00	16	682	1.590	2.000	4.610	32.27	69316332	1083	74	82.46	186.17	245.72	245.72	1	107	ok
r5a	bbr	Wc	50	20	0.0	frames_500x64k	16	3	103.87	12.45	5.00	16	682	1.540	2.000	4.600	33.94	68932308	1077	96	81.98	194.68	229.10	229.10	1	9455	ok
r5a	cubic	Sc	600	8	0.0	frames_500x64k	16	3	672.46	97.33	6.00	16	682	2.140	4.500	6.670	93.64	67588224	1056	218	98.34	826.52	1275.33	2032.53	1	140	ok
r5a	bbr	Sc	600	8	0.0	frames_500x64k	16	3	971.70	135.51	6.00	16	682	2.390	5.470	7.440	119.69	67332208	1052	189	245.26	1459.03	2335.50	2424.23	1	9663	ok
