arm	clients	run	rss_anon_kb	rss_total_kb	vm_size_kb	srv_cpu_s	wall_s	connected
default	1	1	908	13808	448976	0.050	35.15	1
default	5	1	1868	14816	854600	0.100	35.15	5
default	10	1	2620	15560	1125016	0.190	35.16	10
default	25	1	4324	17240	1192620	0.450	35.17	25
default	50	1	6488	19476	1057544	1.030	35.23	50
bounded	1	1	900	13896	381372	0.040	35.15	1
bounded	5	1	1712	14608	786996	0.100	35.16	5
bounded	10	1	2352	15236	922204	0.220	35.16	10
bounded	25	1	4540	17512	1327828	0.370	35.16	25
bounded	50	1	6528	19604	922336	0.980	35.22	50
default	1	2	924	13856	448976	0.040	35.15	1
default	5	2	1796	14720	719392	0.100	35.16	5
default	10	2	2360	15340	854600	0.230	35.17	10
default	25	2	4524	17464	1260224	0.410	35.18	25
default	50	2	6372	19344	719524	1.100	35.21	50
bounded	1	2	892	13744	381372	0.040	35.15	1
bounded	5	2	1656	14732	786996	0.130	35.16	5
bounded	10	2	2396	15288	1125016	0.200	35.15	10
bounded	25	2	3852	16748	922204	0.520	35.17	25
bounded	50	2	6916	19860	1327960	0.920	35.20	50
default	1	3	884	13768	381372	0.040	35.15	1
default	5	3	1868	14796	854600	0.110	35.16	5
default	10	3	2452	15464	989808	0.200	35.16	10
default	25	3	4148	17016	1125016	0.480	35.18	25
default	50	3	6584	19548	1125148	1.110	35.23	50
bounded	1	3	920	13824	448976	0.040	35.15	1
bounded	5	3	1720	14664	922204	0.110	35.16	5
bounded	10	3	2236	15148	719392	0.210	35.16	10
bounded	25	3	4000	16888	1327828	0.500	35.18	25
bounded	50	3	6424	19324	989940	0.980	35.19	50
