arm	clients	run	rss_anon_kb	rss_total_kb	vm_size_kb	srv_cpu_s	wall_s	connected	read_bps	depth
default	2	1	1184	21028	584184	0.150	35.14	2	2000000	32
default	4	1	1688	21500	719392	0.180	35.14	4	2000000	32
default	8	1	2220	22192	989808	0.350	35.15	8	2000000	32
default	16	1	3420	23688	1598244	0.710	35.17	16	2000000	32
bounded	2	1	1180	20912	448976	0.140	35.15	2	2000000	32
bounded	4	1	1516	21504	516580	0.200	35.15	4	2000000	32
bounded	8	1	2148	22144	922204	0.380	35.16	8	2000000	32
bounded	16	1	3276	23488	922204	0.630	35.15	16	2000000	32
default	2	2	1176	20836	516580	0.130	35.15	2	2000000	32
default	4	2	1596	21448	854600	0.220	35.15	4	2000000	32
default	8	2	2280	22264	854600	0.370	35.15	8	2000000	32
default	16	2	3544	23680	1192620	0.660	35.15	16	2000000	32
bounded	2	2	1132	20968	448976	0.130	35.15	2	2000000	32
bounded	4	2	1556	21360	651788	0.200	35.15	4	2000000	32
bounded	8	2	2168	22080	719392	0.360	35.16	8	2000000	32
bounded	16	2	3320	23440	922204	0.650	35.17	16	2000000	32
default	2	3	1244	21004	651788	0.130	35.15	2	2000000	32
default	4	3	1572	21432	516580	0.240	35.15	4	2000000	32
default	8	3	2176	22348	516580	0.420	35.16	8	2000000	32
default	16	3	3564	23792	1395432	0.600	35.16	16	2000000	32
bounded	2	3	1192	20932	516580	0.110	35.14	2	2000000	32
bounded	4	3	1476	21488	719392	0.210	35.15	4	2000000	32
bounded	8	3	1972	21904	854600	0.360	35.16	8	2000000	32
bounded	16	3	3092	23348	786996	0.600	35.16	16	2000000	32
