arm	stream_mode	clients	run	srv_anon_kb	srv_base_kb	srv_delta_kb	cli_anon_kb	asks	bytes_read	unis_opened	stalled	alive	void	void_reason
default	shared	1	1	960	536	424	2040	400	11377	1	1	1	0	-
default	shared	4	1	1660	536	1124	8900	400	45508	4	1	1	0	-
default	shared	8	1	2496	536	1960	18180	400	90558	8	1	1	0	-
default	shared	16	1	3656	536	3120	35568	400	178723	16	1	1	0	-
default	per-frame	1	1	1012	540	472	7728	400	17055	99	1	1	0	-
default	per-frame	4	1	2408	540	1868	31028	400	42644	396	1	1	0	-
default	per-frame	8	1	3996	540	3456	62116	400	49184	792	1	1	0	-
default	per-frame	16	1	6324	540	5784	124268	400	78550	1584	1	1	0	-
bounded	shared	1	1	912	540	372	2076	400	11377	1	1	1	0	-
bounded	shared	4	1	1608	548	1060	8936	400	59705	4	1	1	0	-
bounded	shared	8	1	2252	540	1712	17540	400	88142	8	1	1	0	-
bounded	shared	16	1	3440	540	2900	34620	400	179670	16	1	1	0	-
bounded	per-frame	1	1	996	540	456	7744	400	11367	99	1	1	0	-
bounded	per-frame	4	1	1820	540	1280	31176	400	29312	396	1	1	0	-
bounded	per-frame	8	1	2780	540	2240	62328	400	80605	792	1	1	0	-
bounded	per-frame	16	1	4432	540	3892	124072	400	95476	1584	1	1	0	-
default	shared	1	2	920	536	384	2008	400	11377	1	1	1	0	-
default	shared	4	2	1632	536	1096	8768	400	45052	4	1	1	0	-
default	shared	8	2	2544	536	2008	17716	400	85859	8	1	1	0	-
default	shared	16	2	3724	536	3188	35672	400	199585	16	1	1	0	-
default	per-frame	1	2	1184	536	648	7808	400	11375	99	1	1	0	-
default	per-frame	4	2	2568	536	2032	31236	400	92437	396	1	1	0	-
default	per-frame	8	2	4100	536	3564	62268	400	74933	792	1	1	0	-
default	per-frame	16	2	6792	540	6252	124648	400	101479	1584	1	1	0	-
bounded	shared	1	2	880	540	340	2028	400	11377	1	1	1	0	-
bounded	shared	4	2	1584	544	1040	8612	400	42214	4	1	1	0	-
bounded	shared	8	2	2276	540	1736	17188	400	85628	8	1	1	0	-
bounded	shared	16	2	3448	540	2908	34824	400	167436	16	1	1	0	-
bounded	per-frame	1	2	1004	540	464	7736	400	11375	99	1	1	0	-
bounded	per-frame	4	2	1688	540	1148	31244	400	45500	396	1	1	0	-
bounded	per-frame	8	2	2804	540	2264	62076	400	75118	792	1	1	0	-
bounded	per-frame	16	2	4472	540	3932	124116	400	80550	1584	1	1	0	-
default	shared	1	3	956	536	420	2184	400	11377	1	1	1	0	-
default	shared	4	3	1680	540	1140	8992	400	43862	4	1	1	0	-
default	shared	8	3	2656	536	2120	17756	400	140136	8	1	1	0	-
default	shared	16	3	3664	540	3124	36308	400	176847	16	1	1	0	-
default	per-frame	1	3	1084	536	548	7688	400	11375	99	1	1	0	-
default	per-frame	4	3	2832	536	2296	31320	400	27014	396	1	1	0	-
default	per-frame	8	3	3996	536	3460	62508	400	46850	792	1	1	0	-
default	per-frame	16	3	7156	540	6616	124640	400	79605	1584	1	1	0	-
bounded	shared	1	3	900	540	360	2048	400	11377	1	1	1	0	-
bounded	shared	4	3	1468	540	928	8720	400	43854	4	1	1	0	-
bounded	shared	8	3	2176	540	1636	17388	400	83990	8	1	1	0	-
bounded	shared	16	3	3388	540	2848	34064	400	178257	16	1	1	0	-
bounded	per-frame	1	3	1008	540	468	7888	400	11375	99	1	1	0	-
bounded	per-frame	4	3	1808	536	1272	31148	400	38390	396	1	1	0	-
bounded	per-frame	8	3	2792	540	2252	62252	400	77313	792	1	1	0	-
bounded	per-frame	16	3	4428	544	3884	124212	400	83329	1584	1	1	0	-
