send_path	stream_mode	clients	run	srv_anon_kb	srv_base_anon_kb	srv_delta_anon_kb	srv_rss_kb	srv_base_rss_kb	srv_delta_rss_kb	cli_anon_kb	bytes_read	unis	stalled	alive	void	void_reason
chunked	shared	1	1	916	552	364	8452	6488	1964	2192	34097	1	1	1	0	-
chunked	shared	4	1	1648	540	1108	9500	6652	2848	8984	45506	4	1	1	0	-
chunked	shared	8	1	2596	540	2056	10264	6480	3784	18000	85416	8	1	1	0	-
chunked	shared	16	1	3936	540	3396	11860	6864	4996	35792	178444	16	1	1	0	-
chunked	per-frame	1	1	1012	540	472	13776	6776	7000	7632	11375	99	1	1	0	-
chunked	per-frame	4	1	2648	540	2108	15408	6644	8764	31296	39812	396	1	1	0	-
chunked	per-frame	8	1	4136	544	3592	16920	6672	10248	62668	65404	792	1	1	0	-
chunked	per-frame	16	1	6844	540	6304	19676	6652	13024	124704	80140	1584	1	1	0	-
copy	shared	1	1	1516	540	976	9160	6648	2512	2092	11369	1	1	1	0	-
copy	shared	4	1	3800	540	3260	11708	6784	4924	8940	45244	4	1	1	0	-
copy	shared	8	1	9048	540	8508	16892	6716	10176	17924	89339	8	1	1	0	-
copy	shared	16	1	20368	540	19828	28176	6620	21556	35572	168150	16	1	1	0	-
copy	per-frame	1	1	1736	540	1196	14376	6652	7724	7600	11375	99	1	1	0	-
copy	per-frame	4	1	25708	540	25168	38616	6728	31888	31348	66365	396	1	1	0	-
copy	per-frame	8	1	54228	540	53688	67056	6648	60408	62348	53772	792	1	1	0	-
copy	per-frame	16	1	106604	540	106064	119480	6824	112656	124520	84719	1584	1	1	0	-
split	shared	1	1	1396	544	852	9192	6676	2516	2068	11377	1	1	1	0	-
split	shared	4	1	3332	540	2792	11180	6788	4392	8824	43645	4	1	1	0	-
split	shared	8	1	8976	544	8432	16748	6652	10096	18012	92204	8	1	1	0	-
split	shared	16	1	20400	540	19860	28208	6684	21524	35692	170270	16	1	1	0	-
split	per-frame	1	1	7256	540	6716	19884	6640	13244	7696	11375	99	1	1	0	-
split	per-frame	4	1	21020	540	20480	33832	6696	27136	31216	43846	396	1	1	0	-
split	per-frame	8	1	53080	540	52540	65964	6696	59268	62268	73712	792	1	1	0	-
split	per-frame	16	1	105452	540	104912	118260	6628	111632	124004	70499	1584	1	1	0	-
chunked	shared	1	2	884	544	340	8680	6804	1876	2004	11377	1	1	1	0	-
chunked	shared	4	2	1676	540	1136	9528	6664	2864	8924	43862	4	1	1	0	-
chunked	shared	8	2	2496	540	1956	10268	6584	3684	17720	86757	8	1	1	0	-
chunked	shared	16	2	3888	540	3348	11696	6748	4948	35468	175196	16	1	1	0	-
chunked	per-frame	1	2	992	540	452	13780	6800	6980	7620	11375	99	1	1	0	-
chunked	per-frame	4	2	2716	540	2176	15504	6608	8896	31404	30867	396	1	1	0	-
chunked	per-frame	8	2	4184	540	3644	16988	6624	10364	62980	63317	792	1	1	0	-
chunked	per-frame	16	2	6728	540	6188	19492	6744	12748	124240	93253	1584	1	1	0	-
copy	shared	1	2	1468	540	928	9176	6776	2400	2068	9723	1	1	1	0	-
copy	shared	4	2	3100	540	2560	10928	6632	4296	8980	45500	4	1	1	0	-
copy	shared	8	2	8600	540	8060	16460	6736	9724	18420	88893	8	1	1	0	-
copy	shared	16	2	20452	540	19912	28268	6628	21640	35128	170048	16	1	1	0	-
copy	per-frame	1	2	1820	540	1280	14524	6780	7744	7680	11375	99	1	1	0	-
copy	per-frame	4	2	19124	540	18584	31964	6724	25240	31492	48328	396	1	1	0	-
copy	per-frame	8	2	52244	544	51700	65176	6756	58420	62680	71094	792	1	1	0	-
copy	per-frame	16	2	105984	540	105444	118708	6536	112172	124772	66041	1584	1	1	0	-
split	shared	1	2	2060	540	1520	9692	6636	3056	2032	11377	1	1	1	0	-
split	shared	4	2	3272	540	2732	11188	6856	4332	8764	45506	4	1	1	0	-
split	shared	8	2	9808	540	9268	17600	6604	10996	17892	91004	8	1	1	0	-
split	shared	16	2	20348	540	19808	28172	6636	21536	35400	178489	16	1	1	0	-
split	per-frame	1	2	2092	540	1552	14780	6700	8080	7588	11375	99	1	1	0	-
split	per-frame	4	2	23232	540	22692	36092	6744	29348	31100	56860	396	1	1	0	-
split	per-frame	8	2	53352	540	52812	66180	6648	59532	62268	77528	792	1	1	0	-
split	per-frame	16	2	105736	540	105196	118556	6700	111856	124456	64715	1584	1	1	0	-
