arm	fixture	stream_mode	rate	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
K_copy	frames_250k	shared	400mbit	16	1	189.00	567	141752268	0.580	30940	4.028
K_copy	frames_250k	shared	400mbit	16	2	188.33	565	141252260	0.590	30744	4.104
K_copy	frames_250k	shared	400mbit	16	3	189.00	567	141752268	0.590	30104	4.090
K_chunked	frames_250k	shared	400mbit	16	1	189.00	567	141752268	0.520	27368	3.611
K_chunked	frames_250k	shared	400mbit	16	2	189.00	567	141752268	0.520	27500	3.611
K_chunked	frames_250k	shared	400mbit	16	3	189.00	567	141752268	0.500	27428	3.472
K_copy	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.070	30392	3.741
K_copy	frames_250k	shared	800mbit	16	2	377.67	1133	283254532	1.110	29404	3.881
K_copy	frames_250k	shared	800mbit	16	3	377.67	1133	283254532	1.090	30108	3.811
K_chunked	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.010	27052	3.531
K_chunked	frames_250k	shared	800mbit	16	2	377.67	1133	283254532	1.000	26888	3.493
K_chunked	frames_250k	shared	800mbit	16	3	375.00	1125	281254500	1.060	27100	3.729
K_copy	frames_250k	shared	1600mbit	16	1	755.33	2266	566509064	2.460	30308	4.321
K_copy	frames_250k	shared	1600mbit	16	2	755.33	2266	566509064	2.450	30572	4.304
K_copy	frames_250k	shared	1600mbit	16	3	755.00	2265	566259060	2.480	29780	4.358
K_chunked	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	2.140	26964	3.759
K_chunked	frames_250k	shared	1600mbit	16	2	755.33	2266	566509064	2.080	26956	3.655
K_chunked	frames_250k	shared	1600mbit	16	3	755.33	2266	566509064	2.140	27144	3.759
K_copy	frames_250k	shared	3200mbit	16	1	1449.00	4347	1086767388	4.250	30228	3.903
K_copy	frames_250k	shared	3200mbit	16	2	1441.00	4323	1080767292	4.220	30576	3.897
K_copy	frames_250k	shared	3200mbit	16	3	1432.67	4298	1074517192	4.210	29668	3.909
K_chunked	frames_250k	shared	3200mbit	16	1	1506.00	4518	1129518072	4.090	27508	3.615
K_chunked	frames_250k	shared	3200mbit	16	2	1508.67	4526	1131518104	4.080	27552	3.599
K_chunked	frames_250k	shared	3200mbit	16	3	1505.33	4516	1129018064	4.080	27460	3.607
K_copy	frames_250k	shared	6400mbit	16	1	1595.67	4787	1196769148	4.180	30156	3.485
K_copy	frames_250k	shared	6400mbit	16	2	1628.67	4886	1221519544	4.200	30116	3.434
K_copy	frames_250k	shared	6400mbit	16	3	1583.67	4751	1187769004	4.200	30376	3.529
K_chunked	frames_250k	shared	6400mbit	16	1	1794.00	5382	1345521528	4.110	27700	3.051
K_chunked	frames_250k	shared	6400mbit	16	2	1732.33	5197	1299270788	4.140	27684	3.182
K_chunked	frames_250k	shared	6400mbit	16	3	1740.67	5222	1305520888	4.140	27828	3.166
