arm	fixture	clients	depth	run	agg_mbps	srv_cpu_s	srv_cores	bytes	cpu_s_per_gb
C_seg40	frames_250k	2	16	1	4742.00	4.550	1.32	3561056976	1.278
C_seg44	frames_250k	2	16	1	4798.00	4.540	1.48	3603057648	1.260
C_seg45	frames_250k	2	16	1	4689.33	4.440	1.45	3521056336	1.261
C_seg48	frames_250k	2	16	1	238.33	0.420	0.14	180252884	2.330
C_seg40	frames_250k	2	16	1	4525.67	4.490	1.47	3397804364	1.321
C_seg44	frames_250k	2	16	1	4726.33	4.490	1.47	3548306772	1.265
C_seg45	frames_250k	2	16	1	4725.33	4.430	1.45	3547556760	1.249
C_seg48	frames_250k	2	16	1	237.00	0.400	0.13	181252900	2.207
C_seg40	frames_250k	2	16	1	4624.33	4.470	1.46	3472555560	1.287
C_seg44	frames_250k	2	16	1	4591.33	4.380	1.43	3448305172	1.270
C_seg45	frames_250k	2	16	1	4513.33	4.410	1.44	3388804220	1.301
C_seg48	frames_250k	2	16	1	233.67	0.400	0.13	179002864	2.235
