arm	fixture	stream_mode	rate	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
IS_copy	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.510	29608	5.280
IS_split	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.390	29280	4.860
IS_chunked	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.210	27020	4.223
IS_copy	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.340	30900	4.685
IS_split	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.430	30012	5.000
IS_chunked	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.330	26920	4.646
IS_copy	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.420	30356	4.965
IS_split	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.360	29140	4.755
IS_chunked	frames_250k	shared	800mbit	16	1	378.00	1134	283504536	1.280	27012	4.472
IS_copy	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.500	31020	5.245
IS_split	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.380	29548	4.825
IS_chunked	frames_250k	shared	800mbit	16	1	377.67	1133	283254532	1.240	27020	4.336
IS_copy	frames_250k	shared	1600mbit	16	1	756.00	2268	567009072	3.070	29788	5.388
IS_split	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	2.980	29392	5.235
IS_chunked	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	2.940	27092	5.162
IS_copy	frames_250k	shared	1600mbit	16	1	755.33	2266	566509064	3.340	30356	5.867
IS_split	frames_250k	shared	1600mbit	16	1	756.00	2268	567009072	3.180	30128	5.584
IS_chunked	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	2.830	27024	4.967
IS_copy	frames_250k	shared	1600mbit	16	1	756.00	2268	567009072	3.070	30368	5.391
IS_split	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	2.990	28976	5.250
IS_chunked	frames_250k	shared	1600mbit	16	1	756.00	2268	567009072	2.860	27060	5.020
IS_copy	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	3.040	30748	5.340
IS_split	frames_250k	shared	1600mbit	16	1	755.67	2267	566759068	3.270	29188	5.742
IS_chunked	frames_250k	shared	1600mbit	16	1	754.00	2262	565509048	3.070	27144	5.402
