arm	fixture	clients	depth	run	agg_mbps	srv_cpu_s	srv_cores	bytes	cpu_s_per_gb
M_copy	frames_250k	2	16	1	2468.67	5.390	1.76	1856779708	2.903
M_split	frames_250k	2	16	1	2583.33	5.200	1.70	1942281076	2.677
M_chunked	frames_250k	2	16	1	2560.00	5.020	1.64	1925280804	2.607
M_copy	frames_250k	2	16	1	2180.33	5.200	1.70	1639276228	3.172
M_split	frames_250k	2	16	1	2582.67	5.190	1.69	1943531096	2.670
M_chunked	frames_250k	2	16	1	2817.33	5.180	1.69	2118783900	2.445
M_copy	frames_250k	2	16	1	2610.00	5.250	1.71	1962281396	2.675
M_split	frames_250k	2	16	1	2784.33	5.170	1.69	2093533496	2.470
M_chunked	frames_250k	2	16	1	2869.00	5.080	1.66	2156034496	2.356
M_copy	frames_250k	2	16	1	2512.00	5.210	1.70	1890530248	2.756
M_split	frames_250k	2	16	1	2582.33	5.160	1.69	1941031056	2.658
M_chunked	frames_250k	2	16	1	2843.67	5.050	1.65	2137034192	2.363
