arm	fixture	stream_mode	rate	depth	run	mbps	frames	bytes	srv_cpu_s	srv_rss_kb	cpu_s_per_gb
S_pf_fair_on	frames_250k	per-frame	100mbit	4	1	46.67	140	35000560	0.150	27128	4.167
S_pf_fair_on	frames_250k	per-frame	100mbit	4	2	47.00	141	35250564	0.140	27004	3.889
S_pf_fair_on	frames_250k	per-frame	100mbit	4	3	46.67	140	35000560	0.150	27024	4.167
S_pf_fair_on	frames_250k	per-frame	100mbit	16	1	45.33	136	34000544	0.150	27056	4.412
S_pf_fair_on	frames_250k	per-frame	100mbit	16	2	45.33	136	34000544	0.150	26980	4.348
S_pf_fair_on	frames_250k	per-frame	100mbit	16	3	45.67	137	34250548	0.160	27192	4.671
S_pf_fair_off	frames_250k	per-frame	100mbit	4	1	47.33	142	35500568	0.160	27004	4.444
S_pf_fair_off	frames_250k	per-frame	100mbit	4	2	47.33	142	35500568	0.140	27032	3.889
S_pf_fair_off	frames_250k	per-frame	100mbit	4	3	47.33	142	35500568	0.150	26980	4.167
S_pf_fair_off	frames_250k	per-frame	100mbit	16	1	47.33	142	35500568	0.150	26968	4.167
S_pf_fair_off	frames_250k	per-frame	100mbit	16	2	47.33	142	35500568	0.160	26996	4.444
S_pf_fair_off	frames_250k	per-frame	100mbit	16	3	47.33	142	35500568	0.160	27008	4.444
S_shared	frames_250k	shared	100mbit	4	1	47.33	142	35500568	0.160	26944	4.475
S_shared	frames_250k	shared	100mbit	4	2	47.33	142	35500568	0.140	26868	3.916
S_shared	frames_250k	shared	100mbit	4	3	47.33	142	35500568	0.140	26856	3.916
S_shared	frames_250k	shared	100mbit	16	1	47.33	142	35500568	0.150	26892	4.167
S_shared	frames_250k	shared	100mbit	16	2	47.33	142	35500568	0.140	26880	3.889
S_shared	frames_250k	shared	100mbit	16	3	47.33	142	35500568	0.150	26920	4.167
S_shared_copy	frames_250k	shared	100mbit	4	1	47.33	142	35500568	0.160	29420	4.475
S_shared_copy	frames_250k	shared	100mbit	4	2	47.33	142	35500568	0.170	28852	4.755
S_shared_copy	frames_250k	shared	100mbit	4	3	47.33	142	35500568	0.170	29000	4.755
S_shared_copy	frames_250k	shared	100mbit	16	1	47.33	142	35500568	0.160	30112	4.444
S_shared_copy	frames_250k	shared	100mbit	16	2	47.33	142	35500568	0.160	30472	4.444
S_shared_copy	frames_250k	shared	100mbit	16	3	47.33	142	35500568	0.160	30888	4.444
S_bbr	frames_250k	shared	100mbit	4	1	47.33	142	35500568	0.270	26744	7.606
S_bbr	frames_250k	shared	100mbit	4	2	47.33	142	35500568	0.310	26748	8.732
S_bbr	frames_250k	shared	100mbit	4	3	47.33	142	35500568	0.320	26848	9.014
S_bbr	frames_250k	shared	100mbit	16	1	47.33	142	35500568	0.310	27164	8.611
S_bbr	frames_250k	shared	100mbit	16	2	47.33	142	35500568	0.320	27188	8.889
S_bbr	frames_250k	shared	100mbit	16	3	47.33	142	35500568	0.330	27184	9.167
S_pf_fair_on	frames_250k	per-frame	400mbit	4	1	188.67	566	141502264	0.550	27276	3.860
S_pf_fair_on	frames_250k	per-frame	400mbit	4	2	188.67	566	141502264	0.560	27228	3.937
S_pf_fair_on	frames_250k	per-frame	400mbit	4	3	188.67	566	141502264	0.520	27328	3.649
S_pf_fair_on	frames_250k	per-frame	400mbit	16	1	187.67	563	140752252	0.530	27324	3.732
S_pf_fair_on	frames_250k	per-frame	400mbit	16	2	186.67	560	140002240	0.590	27248	4.097
S_pf_fair_on	frames_250k	per-frame	400mbit	16	3	186.33	559	139752236	0.570	27224	3.965
S_pf_fair_off	frames_250k	per-frame	400mbit	4	1	188.67	566	141502264	0.560	27292	3.930
S_pf_fair_off	frames_250k	per-frame	400mbit	4	2	188.67	566	141502264	0.540	27180	3.789
S_pf_fair_off	frames_250k	per-frame	400mbit	4	3	188.67	566	141502264	0.550	27196	3.860
S_pf_fair_off	frames_250k	per-frame	400mbit	16	1	189.00	567	141752268	0.580	27272	4.028
S_pf_fair_off	frames_250k	per-frame	400mbit	16	2	188.00	564	141002256	0.580	27224	4.042
S_pf_fair_off	frames_250k	per-frame	400mbit	16	3	189.00	567	141752268	0.540	27348	3.750
S_shared	frames_250k	shared	400mbit	4	1	189.00	567	141752268	0.500	26988	3.521
S_shared	frames_250k	shared	400mbit	4	2	189.00	567	141752268	0.480	27120	3.380
S_shared	frames_250k	shared	400mbit	4	3	187.67	563	140752252	0.490	27044	3.475
S_shared	frames_250k	shared	400mbit	16	1	189.00	567	141752268	0.520	27392	3.605
S_shared	frames_250k	shared	400mbit	16	2	189.00	567	141752268	0.540	27380	3.743
S_shared	frames_250k	shared	400mbit	16	3	189.00	567	141752268	0.530	27380	3.680
S_shared_copy	frames_250k	shared	400mbit	4	1	189.00	567	141752268	0.580	28632	4.084
S_shared_copy	frames_250k	shared	400mbit	4	2	189.00	567	141752268	0.580	29196	4.084
S_shared_copy	frames_250k	shared	400mbit	4	3	187.67	563	140752252	0.570	29244	4.042
S_shared_copy	frames_250k	shared	400mbit	16	1	189.00	567	141752268	0.530	30588	3.680
S_shared_copy	frames_250k	shared	400mbit	16	2	189.00	567	141752268	0.550	30476	3.819
S_shared_copy	frames_250k	shared	400mbit	16	3	189.00	567	141752268	0.590	30180	4.097
S_bbr	frames_250k	shared	400mbit	4	1	188.67	566	141502264	0.600	26888	4.225
S_bbr	frames_250k	shared	400mbit	4	2	188.67	566	141502264	0.580	26788	4.084
S_bbr	frames_250k	shared	400mbit	4	3	188.67	566	141502264	0.580	26932	4.092
S_bbr	frames_250k	shared	400mbit	16	1	188.67	566	141502264	0.620	27340	4.305
S_bbr	frames_250k	shared	400mbit	16	2	188.67	566	141502264	0.600	27312	4.167
S_bbr	frames_250k	shared	400mbit	16	3	189.00	567	141752268	0.690	27284	4.792
