arm	rtt_label_ms	rate	run	miss_p95_wait_ms	miss_mean_wait_ms	asks_sent	step_loop_ms	ideal_rtt_plus_tf
S	60	10mbit	1	109.928	99.274	80	7943.2	85.6
S	60	10mbit	2	109.700	98.835	80	7908.2	85.6
S	60	10mbit	3	109.840	98.542	80	7884.7	85.6
S	60	10mbit	4	110.679	99.572	80	7967.1	85.6
S	60	10mbit	5	109.883	98.437	80	7876.2	85.6
S	150	10mbit	1	236.795	219.973	80	17599.1	175.6
S	150	10mbit	2	232.166	224.967	80	17998.8	175.6
S	150	10mbit	3	239.217	220.131	80	17611.8	175.6
S	150	10mbit	4	243.804	221.506	80	17721.7	175.6
S	150	10mbit	5	247.484	220.692	80	17656.6	175.6
S	60	delayonly	1	95.752	86.792	80	6944.6	85.6
S	60	delayonly	2	96.752	86.612	80	6930.4	85.6
S	60	delayonly	3	97.491	86.924	80	6955.2	85.6
S	60	delayonly	4	97.669	87.141	80	6972.7	85.6
S	60	delayonly	5	97.731	86.898	80	6953.1	85.6
S	150	delayonly	1	218.125	207.272	80	16583.2	175.6
S	150	delayonly	2	226.800	207.236	80	16580.2	175.6
S	150	delayonly	3	227.864	206.849	80	16549.2	175.6
S	150	delayonly	4	223.222	206.584	80	16528.2	175.6
S	150	delayonly	5	217.949	207.514	80	16602.7	175.6
