arm	fixture	rtt_ms	loss_pct	depth	run	p95_wait_ms	mean_wait_ms	mbps	peak_outstanding	asks_sent
S	frames_32k	60	0	1	1	270.24	154.91	0.000	1	64
S	frames_32k	60	0	1	2	265.69	157.62	0.000	1	64
S	frames_32k	60	0	1	3	264.88	158.57	0.000	1	64
Q	frames_32k	60	0	1	1	263.62	154.61	0.000	1	64
Q	frames_32k	60	0	1	2	290.76	159.68	0.000	1	64
Q	frames_32k	60	0	1	3	264.46	155.64	0.000	1	64
S	frames_32k	60	0	8	1	164.90	16.04	0.000	8	629
S	frames_32k	60	0	8	2	165.16	17.65	0.000	8	625
S	frames_32k	60	0	8	3	166.23	17.77	0.000	8	626
Q	frames_32k	60	0	8	1	162.99	17.21	0.000	8	631
Q	frames_32k	60	0	8	2	166.06	20.88	0.000	8	625
Q	frames_32k	60	0	8	3	167.27	16.35	0.000	8	625
S	frames_32k	60	0.5	8	1	274.64	41.18	0.000	8	482
S	frames_32k	60	0.5	8	2	452.54	151.33	0.000	8	468
S	frames_32k	60	0.5	8	3	168.22	20.70	0.000	8	615
Q	frames_32k	60	0.5	8	1	657.96	159.27	0.000	8	454
Q	frames_32k	60	0.5	8	2	169.06	18.21	0.000	8	578
Q	frames_32k	60	0.5	8	3	94.93	16.65	0.000	8	485
S	frames_32k	60	2	8	1	1986.58	636.63	0.000	8	451
S	frames_32k	60	2	8	2	1864.18	495.25	0.000	8	452
S	frames_32k	60	2	8	3	2426.67	507.10	0.000	8	431
Q	frames_32k	60	2	8	1	2323.05	726.26	0.000	8	448
Q	frames_32k	60	2	8	2	1537.26	393.34	0.000	8	450
Q	frames_32k	60	2	8	3	3023.96	956.78	0.000	8	431
S	frames_32k	150	0	1	1	330.34	200.80	0.000	1	64
S	frames_32k	150	0	1	2	326.18	196.39	0.000	1	64
S	frames_32k	150	0	1	3	328.33	198.06	0.000	1	64
Q	frames_32k	150	0	1	1	456.01	206.54	0.000	1	64
Q	frames_32k	150	0	1	2	356.85	199.42	0.000	1	64
Q	frames_32k	150	0	1	3	354.22	199.26	0.000	1	64
S	frames_32k	150	0	12	1	378.84	69.30	0.000	12	872
S	frames_32k	150	0	12	2	380.33	71.87	0.000	12	854
S	frames_32k	150	0	12	3	379.45	72.27	0.000	12	875
Q	frames_32k	150	0	12	1	387.25	69.40	0.000	12	870
Q	frames_32k	150	0	12	2	385.32	75.08	0.000	12	874
Q	frames_32k	150	0	12	3	387.64	77.84	0.000	12	855
S	frames_32k	150	0.5	12	1	616.82	80.53	0.000	12	890
S	frames_32k	150	0.5	12	2	384.17	74.34	0.000	12	857
S	frames_32k	150	0.5	12	3	718.39	151.11	0.000	12	819
Q	frames_32k	150	0.5	12	1	671.99	150.56	0.000	12	778
Q	frames_32k	150	0.5	12	2	721.67	153.98	0.000	12	722
Q	frames_32k	150	0.5	12	3	378.20	70.49	0.000	12	874
S	frames_32k	150	2	12	1	3633.46	967.01	0.000	12	712
S	frames_32k	150	2	12	2	2862.40	612.74	0.000	12	691
S	frames_32k	150	2	12	3	4859.60	980.09	0.000	12	706
Q	frames_32k	150	2	12	1	1609.27	267.29	0.000	12	692
Q	frames_32k	150	2	12	2	4102.65	1136.07	0.000	12	689
Q	frames_32k	150	2	12	3	3773.39	885.67	0.000	12	692
S	frames_250k_live	60	0	1	1	386.82	232.09	0.000	1	367
S	frames_250k_live	60	0	1	2	389.55	233.70	0.000	1	367
S	frames_250k_live	60	0	1	3	394.96	236.89	0.000	1	367
Q	frames_250k_live	60	0	1	1	390.49	234.23	0.000	1	367
Q	frames_250k_live	60	0	1	2	398.97	236.98	0.000	1	367
Q	frames_250k_live	60	0	1	3	388.88	233.53	0.000	1	367
S	frames_250k_live	60	0	2	1	237.97	143.72	0.000	2	778
S	frames_250k_live	60	0	2	2	237.56	142.50	0.000	2	779
S	frames_250k_live	60	0	2	3	237.38	142.52	0.000	2	779
Q	frames_250k_live	60	0	2	1	237.79	142.57	0.000	2	779
Q	frames_250k_live	60	0	2	2	238.17	143.33	0.000	2	779
Q	frames_250k_live	60	0	2	3	237.70	143.00	0.000	2	779
S	frames_250k_live	60	0.5	2	1	1681.57	563.33	0.000	2	695
S	frames_250k_live	60	0.5	2	2	1615.18	497.48	0.000	2	685
S	frames_250k_live	60	0.5	2	3	1860.51	589.62	0.000	2	675
Q	frames_250k_live	60	0.5	2	1	1503.33	491.87	0.000	2	664
Q	frames_250k_live	60	0.5	2	2	1623.19	427.53	0.000	2	684
Q	frames_250k_live	60	0.5	2	3	1689.96	510.76	0.000	2	669
S	frames_250k_live	60	2	2	1	FAIL	FAIL	FAIL	-	-
