exp	arm	cell	rtt_ms	rate_mbps	loss_pct	step_scale	depth	cache	run	p95_wait_ms	mean_wait_ms	peak_outstanding	wait_samples	nz_n	nz_p50	nz_p95	nz_p99	nz_max	reader_lag_ms	stranded_frames	stranded_bytes	censored	censored_frac	center_dropped	frames_on_wire	bytes_on_wire	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	ns_qdrop	verdict
r6	shared	X1	50	20	0.1	2	8	64	1	261.00	44.05	8	682	230	88.37	379.01	518.66	575.57	1.0	107	6848428	0	0.0000	0	647	41410588	1.350	0.000	3.530	47.26	0	ok
r6	perframe_fair	X1	50	20	0.1	2	8	64	1	352.42	92.65	10	682	354	165.01	395.04	461.25	535.13	1.4	141	9024564	0	0.0000	0	647	41410588	1.500	1.790	3.540	47.23	0	ok
r6	perframe_fifo	X1	50	20	0.1	2	8	64	1	165.29	27.39	8	682	195	80.61	244.37	496.70	563.35	1.2	88	5632352	0	0.0000	0	654	41858616	1.340	1.440	3.540	47.24	0	ok
r6	shared	X2	50	20	0.0	1	8	64	1	82.14	24.69	8	682	356	45.58	102.11	182.87	205.68	0.2	137	8768548	0	0.0000	0	654	41858616	0.960	1.190	3.270	24.79	0	ok
r6	perframe_fair	X2	50	20	0.0	1	8	64	1	146.16	50.92	10	682	449	69.15	159.50	295.85	395.01	1.1	215	13760860	0	0.0000	0	652	41730608	1.130	1.560	3.340	24.78	0	ok
r6	perframe_fifo	X2	50	20	0.0	1	8	64	1	81.47	24.52	8	682	353	45.76	98.42	182.36	201.62	1.2	136	8704544	0	0.0000	0	654	41858616	0.990	1.250	3.320	24.79	0	ok
r6	shared	X3	50	20	1.0	8	8	64	1	182.20	20.16	8	682	77	167.13	355.81	528.82	528.82	1.4	33	2112132	0	0.0000	0	655	41922620	2.090	2.010	4.140	181.78	0	ok
r6	perframe_fair	X3	50	20	1.0	8	8	64	1	962.11	204.78	9	682	262	468.39	1205.03	1659.75	1924.48	1.6	68	4352272	0	0.0000	0	655	41922620	2.100	2.270	4.140	181.78	0	ok
r6	perframe_fifo	X3	50	20	1.0	8	8	64	1	608.04	96.46	8	682	126	263.67	1854.09	2646.63	2910.57	1.2	38	2432152	0	0.0000	0	655	41922620	2.050	2.090	4.170	181.83	0	ok
r6	shared	N0	50	20	0.0	8	8	64	1	79.47	6.46	8	682	54	79.52	80.75	184.11	184.11	0.5	0	0	0	0.0000	0	655	41922620	1.100	1.360	3.410	181.76	0	ok
r6	perframe_fair	N0	50	20	0.0	8	8	64	1	134.44	12.35	8	682	55	150.51	192.79	380.81	380.81	0.5	0	0	0	0.0000	0	655	41922620	1.290	1.700	3.560	181.85	0	ok
r6	perframe_fifo	N0	50	20	0.0	8	8	64	1	79.53	6.46	8	682	54	79.77	80.75	185.21	185.21	0.8	0	0	0	0.0000	0	655	41922620	1.260	1.500	3.550	181.80	0	ok
r6	shared	X1	50	20	0.1	2	8	64	2	372.93	52.42	9	682	213	90.44	508.74	612.93	678.50	1.4	117	7488468	0	0.0000	0	640	40962560	1.420	1.420	3.530	47.11	0	ok
r6	perframe_fair	X1	50	20	0.1	2	8	64	2	457.41	125.49	9	682	383	187.68	557.29	821.18	924.33	1.4	161	10304644	0	0.0000	0	623	39874492	1.420	1.670	3.410	47.13	0	ok
r6	perframe_fifo	X1	50	20	0.1	2	8	64	2	363.55	54.79	8	682	219	91.95	590.12	721.19	850.62	1.0	122	7808488	0	0.0000	0	638	40834552	1.510	1.590	3.610	47.17	0	ok
r6	shared	X2	50	20	0.0	1	8	64	2	82.87	24.59	8	682	357	45.76	98.41	181.94	207.95	1.5	136	8704544	0	0.0000	0	654	41858616	1.000	1.270	3.400	24.82	0	ok
r6	perframe_fair	X2	50	20	0.0	1	8	64	2	142.99	48.13	10	682	441	65.06	154.29	298.17	397.27	0.9	219	14016876	0	0.0000	0	651	41666604	1.020	1.480	3.340	24.79	0	ok
r6	perframe_fifo	X2	50	20	0.0	1	8	64	2	84.04	24.79	8	682	351	46.03	102.20	183.84	207.34	1.3	137	8768548	0	0.0000	0	654	41858616	1.080	1.330	3.390	24.80	0	ok
r6	shared	X3	50	20	1.0	8	8	64	2	267.22	42.59	8	682	110	177.23	838.54	1166.46	1430.95	1.4	50	3200200	0	0.0000	0	655	41922620	1.990	2.000	4.140	181.86	0	ok
r6	perframe_fair	X3	50	20	1.0	8	8	64	2	1013.07	215.99	8	682	268	490.68	1291.31	1556.52	2038.84	1.6	68	4352272	0	0.0000	0	652	41730608	1.980	2.200	3.980	181.76	0	ok
r6	perframe_fifo	X3	50	20	1.0	8	8	64	2	637.06	84.61	8	682	119	225.41	1527.80	1963.31	2226.70	2.0	44	2816176	0	0.0000	0	655	41922620	1.770	1.970	3.910	181.77	0	ok
r6	shared	N0	50	20	0.0	8	8	64	2	79.40	6.46	8	682	54	79.51	81.44	181.44	181.44	0.6	0	0	0	0.0000	0	655	41922620	1.000	1.240	3.300	181.75	0	ok
r6	perframe_fair	N0	50	20	0.0	8	8	64	2	149.07	12.93	8	682	55	157.38	201.37	379.95	379.95	1.8	0	0	0	0.0000	0	655	41922620	1.130	1.530	3.390	181.77	0	ok
r6	perframe_fifo	N0	50	20	0.0	8	8	64	2	79.34	6.46	8	682	54	79.70	80.87	182.71	182.71	1.5	0	0	0	0.0000	0	655	41922620	1.120	1.380	3.370	181.81	0	ok
r6	shared	X1	50	20	0.1	2	8	64	3	548.45	115.72	10	682	312	194.52	661.91	853.40	905.51	1.5	179	11456716	0	0.0000	0	616	39426464	1.030	1.160	3.140	47.21	0	ok
r6	perframe_fair	X1	50	20	0.1	2	8	64	3	552.55	167.02	11	682	397	262.14	627.94	845.93	921.67	1.3	188	12032752	0	0.0000	0	605	38722420	1.080	1.470	3.130	47.24	0	ok
r6	perframe_fifo	X1	50	20	0.1	2	8	64	3	624.02	133.10	10	682	318	218.69	757.17	930.60	1014.49	0.4	182	11648728	0	0.0000	0	613	39234452	1.090	1.260	3.150	47.24	0	ok
r6	shared	X2	50	20	0.0	1	8	64	3	82.31	24.46	8	682	354	45.59	98.87	182.87	203.26	0.5	135	8640540	0	0.0000	0	654	41858616	0.810	1.060	3.140	24.77	0	ok
r6	perframe_fair	X2	50	20	0.0	1	8	64	3	140.08	49.34	10	682	445	66.26	158.71	296.47	395.87	1.1	214	13696856	0	0.0000	0	652	41730608	0.860	1.280	3.070	24.74	0	ok
r6	perframe_fifo	X2	50	20	0.0	1	8	64	3	83.98	24.76	8	682	352	45.75	103.25	183.50	205.87	1.1	137	8768548	0	0.0000	0	654	41858616	0.890	1.130	3.150	24.78	0	ok
r6	shared	X3	50	20	1.0	8	8	64	3	168.20	23.39	8	682	78	166.96	606.56	851.99	851.99	1.5	36	2304144	0	0.0000	0	655	41922620	1.550	1.570	3.720	181.88	0	ok
r6	perframe_fair	X3	50	20	1.0	8	8	64	3	1050.74	231.15	9	682	273	488.73	1427.15	1954.95	2072.66	1.1	64	4096256	0	0.0000	0	654	41858616	1.770	2.030	3.820	181.88	0	ok
r6	perframe_fifo	X3	50	20	1.0	8	8	64	3	651.98	81.41	8	682	119	218.24	1364.82	1609.29	1638.58	1.1	49	3136196	0	0.0000	0	655	41922620	1.900	1.940	3.950	181.86	0	ok
r6	shared	N0	50	20	0.0	8	8	64	3	79.36	6.46	8	682	54	79.59	80.86	183.37	183.37	1.2	0	0	0	0.0000	0	655	41922620	0.990	1.260	3.340	181.81	0	ok
r6	perframe_fair	N0	50	20	0.0	8	8	64	3	137.88	12.41	8	682	55	144.44	205.65	377.89	377.89	0.7	0	0	0	0.0000	0	655	41922620	1.210	1.620	3.510	181.87	0	ok
r6	perframe_fifo	N0	50	20	0.0	8	8	64	3	79.35	6.45	8	682	54	79.47	80.77	182.48	182.48	1.5	0	0	0	0.0000	0	655	41922620	1.180	1.400	3.400	181.75	0	ok
