exp	arm	cell	rtt_ms	rate_mbps	loss_pct	step_scale	depth	cache	run	p95_wait_ms	mean_wait_ms	peak_outstanding	wait_samples	nz_n	nz_p50	nz_p95	nz_p99	nz_max	reader_lag_ms	stranded_frames	stranded_bytes	censored	censored_frac	center_dropped	frames_on_wire	bytes_on_wire	srv_cpu_s	cli_cpu_s	ns_cpu_s	wall_s	ns_qdrop	verdict
r6cloud	shared	X1	53	20	0.1	1	8	64	1	102.09	30.68	9	682	388	48.60	127.97	209.60	268.90	1.5	165	10560660	0	0.0000	0	654	41858616	0.770	1.520	0.000	24.77	3	ok
r6cloud	perframe_fair	X1	53	20	0.1	1	8	64	1	176.43	66.56	10	682	489	84.34	188.76	312.66	411.95	1.0	269	17217076	0	0.0000	0	650	41602600	0.730	1.720	0.000	24.70	3	ok
r6cloud	perframe_fifo	X1	53	20	0.1	1	8	64	1	91.85	28.84	8	682	384	48.50	119.43	191.67	223.99	1.8	155	9920620	0	0.0000	0	654	41858616	0.790	1.680	0.000	24.74	4	ok
r6cloud	shared	X2	53	20	0.0	1	8	64	1	92.98	28.35	8	682	378	47.53	123.77	193.56	228.02	1.9	156	9984624	0	0.0000	0	654	41858616	0.760	1.590	0.000	24.78	0	ok
r6cloud	perframe_fair	X2	53	20	0.0	1	8	64	1	142.19	51.27	10	682	469	68.96	157.58	314.23	413.17	1.1	243	15552972	0	0.0000	0	651	41666604	0.730	1.560	0.000	24.69	0	ok
r6cloud	perframe_fifo	X2	53	20	0.0	1	8	64	1	92.23	28.48	8	682	379	47.41	122.59	191.48	228.14	1.2	155	9920620	0	0.0000	0	654	41858616	0.770	1.840	0.000	24.82	0	ok
r6cloud	shared	X3	53	20	1.0	4	8	64	1	119.32	16.57	8	682	95	94.05	352.89	496.31	496.31	1.5	29	1856116	0	0.0000	0	655	41922620	0.980	2.190	0.000	92.15	55	ok
r6cloud	perframe_fair	X3	53	20	1.0	4	8	64	1	515.42	117.39	8	682	287	258.16	607.57	765.82	811.45	1.2	85	5440340	0	0.0000	0	655	41922620	1.050	2.710	0.000	92.01	64	ok
r6cloud	perframe_fifo	X3	53	20	1.0	4	8	64	1	436.81	58.24	8	682	143	134.86	870.90	1107.18	1138.05	0.8	66	4224264	0	0.0000	0	653	41794612	1.070	2.430	0.000	93.16	62	ok
r6cloud	shared	N0	53	20	0.0	4	8	64	1	82.07	7.64	8	682	58	83.16	192.26	271.17	271.17	1.4	0	0	0	0.0000	0	655	41922620	0.790	1.870	0.000	92.14	0	ok
r6cloud	perframe_fair	N0	53	20	0.0	4	8	64	1	147.43	15.57	8	682	93	118.24	213.43	393.10	393.10	1.3	0	0	0	0.0000	0	655	41922620	0.860	1.740	0.000	92.03	0	ok
r6cloud	perframe_fifo	N0	53	20	0.0	4	8	64	1	82.65	8.81	8	682	63	83.06	271.27	273.54	273.54	1.3	0	0	0	0.0000	0	655	41922620	0.880	1.880	0.000	91.99	0	ok
r6cloud	shared	X1	53	20	0.1	1	8	64	2	96.19	29.05	8	682	379	49.86	121.73	190.63	217.96	1.2	158	10112632	0	0.0000	0	654	41858616	0.720	1.560	0.000	24.75	7	ok
r6cloud	perframe_fair	X1	53	20	0.1	1	8	64	2	152.26	54.99	10	682	475	70.81	164.38	319.99	418.92	0.7	250	16001000	0	0.0000	0	650	41602600	0.670	1.480	0.000	24.77	1	ok
r6cloud	perframe_fifo	X1	53	20	0.1	1	8	64	2	91.03	28.07	8	682	378	47.99	117.82	189.31	221.22	1.0	157	10048628	0	0.0000	0	654	41858616	0.830	1.710	0.000	24.78	5	ok
r6cloud	shared	X2	53	20	0.0	1	8	64	2	93.85	28.71	8	682	378	47.75	124.96	200.04	225.76	1.3	159	10176636	0	0.0000	0	653	41794612	0.670	1.600	0.000	24.71	0	ok
r6cloud	perframe_fair	X2	53	20	0.0	1	8	64	2	144.46	51.35	10	682	470	69.38	154.17	321.70	421.09	1.4	245	15680980	0	0.0000	0	651	41666604	0.660	1.420	0.000	24.71	0	ok
r6cloud	perframe_fifo	X2	53	20	0.0	1	8	64	2	91.54	28.04	8	682	378	46.94	118.07	192.14	223.19	1.8	153	9792612	0	0.0000	0	654	41858616	0.670	1.650	0.000	24.75	0	ok
r6cloud	shared	X3	53	20	1.0	4	8	64	2	84.70	9.02	8	682	68	84.70	177.42	212.90	212.90	1.1	11	704044	0	0.0000	0	655	41922620	0.900	1.510	0.000	92.05	42	ok
r6cloud	perframe_fair	X3	53	20	1.0	4	8	64	2	498.45	95.50	9	682	233	247.92	683.40	947.35	1079.90	1.3	56	3584224	0	0.0000	0	653	41794612	0.930	1.790	0.000	92.05	50	ok
r6cloud	perframe_fifo	X3	53	20	1.0	4	8	64	2	117.08	19.64	8	682	92	93.44	467.68	750.27	750.27	0.8	27	1728108	0	0.0000	0	653	41794612	0.990	1.420	0.000	92.09	52	ok
r6cloud	shared	N0	53	20	0.0	4	8	64	2	81.41	7.11	8	682	56	82.27	91.48	214.94	214.94	2.0	0	0	0	0.0000	0	655	41922620	0.760	1.310	0.000	92.12	0	ok
r6cloud	perframe_fair	N0	53	20	0.0	4	8	64	2	176.11	20.07	8	682	111	134.30	232.08	273.35	403.24	1.0	0	0	0	0.0000	0	655	41922620	0.880	1.450	0.000	92.02	0	ok
r6cloud	perframe_fifo	N0	53	20	0.0	4	8	64	2	82.71	7.80	8	682	59	83.13	191.80	270.57	270.57	0.8	0	0	0	0.0000	0	655	41922620	0.830	1.430	0.000	92.05	0	ok
r6cloud	shared	X1	53	20	0.1	1	8	64	3	96.80	29.34	8	682	385	48.21	122.53	198.01	217.50	0.3	152	9728608	0	0.0000	0	653	41794612	0.740	1.180	0.000	24.71	6	ok
r6cloud	perframe_fair	X1	53	20	0.1	1	8	64	3	201.59	77.13	10	682	509	95.90	218.95	306.85	415.25	0.8	291	18625164	0	0.0000	0	645	41282580	0.710	1.440	0.000	24.71	4	ok
r6cloud	perframe_fifo	X1	53	20	0.1	1	8	64	3	94.83	28.79	8	682	378	47.82	123.66	196.01	219.53	1.6	155	9920620	0	0.0000	0	654	41858616	0.670	1.390	0.000	24.69	2	ok
r6cloud	shared	X2	53	20	0.0	1	8	64	3	95.41	28.36	8	682	381	46.96	118.17	188.73	215.13	1.0	156	9984624	0	0.0000	0	654	41858616	0.620	1.240	0.000	24.76	0	ok
r6cloud	perframe_fair	X2	53	20	0.0	1	8	64	3	153.72	53.80	10	682	476	69.74	166.36	314.41	413.91	0.7	246	15744984	0	0.0000	0	651	41666604	0.630	1.440	0.000	24.72	0	ok
r6cloud	perframe_fifo	X2	53	20	0.0	1	8	64	3	91.69	27.89	8	682	377	46.36	120.69	190.76	222.77	1.1	151	9664604	0	0.0000	0	654	41858616	0.700	1.260	0.000	24.78	0	ok
r6cloud	shared	X3	53	20	1.0	4	8	64	3	365.78	47.30	8	682	114	131.12	944.56	1062.72	1087.60	1.7	44	2816176	0	0.0000	0	651	41666604	0.980	1.450	0.000	91.99	52	ok
r6cloud	perframe_fair	X3	53	20	1.0	4	8	64	3	590.92	118.62	9	682	258	267.24	786.06	1231.11	1495.71	1.0	73	4672292	0	0.0000	0	649	41538596	1.030	1.390	0.000	92.11	61	ok
r6cloud	perframe_fifo	X3	53	20	1.0	4	8	64	3	174.37	37.87	9	682	99	99.93	959.97	1021.69	1021.69	1.4	36	2304144	0	0.0000	0	652	41730608	0.940	1.620	0.000	92.03	50	ok
r6cloud	shared	N0	53	20	0.0	4	8	64	3	82.01	7.56	8	682	58	82.98	189.04	271.10	271.10	1.3	0	0	0	0.0000	0	655	41922620	0.730	1.340	0.000	92.03	0	ok
r6cloud	perframe_fair	N0	53	20	0.0	4	8	64	3	188.07	20.56	8	682	109	140.84	227.75	273.71	394.78	1.2	0	0	0	0.0000	0	655	41922620	0.830	1.540	0.000	92.06	0	ok
r6cloud	perframe_fifo	N0	53	20	0.0	4	8	64	3	81.69	6.86	8	682	55	83.18	87.33	190.17	190.17	1.6	0	0	0	0.0000	0	655	41922620	0.810	1.570	0.000	92.02	0	ok
